Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-09-25,Lazio,Palermo,4,2,H,0,1,A,8.0,10.0,5.0,4.0,23.0,21.0,8.0,7.0,2,3,0,0
2005-09-25,Livorno,Ascoli,2,0,H,0,0,D,9.0,5.0,2.0,2.0,10.0,15.0,4.0,3.0,0,2,0,1
2005-09-25,Sampdoria,Chievo,1,2,A,0,1,A,8.0,10.0,5.0,6.0,18.0,26.0,6.0,7.0,2,4,0,0
2005-09-25,Siena,Messina,4,2,H,3,1,H,12.0,6.0,5.0,3.0,17.0,16.0,6.0,2.0,1,2,0,0
2005-09-25,Treviso,Milan,0,2,A,0,1,A,6.0,12.0,2.0,6.0,22.0,13.0,4.0,2.0,3,0,0,0
2005-10-01,Chievo,Treviso,0,0,D,0,0,D,11.0,7.0,0.0,3.0,24.0,22.0,6.0,4.0,3,2,0,0
2005-10-01,Udinese,Lazio,3,0,H,0,0,D,19.0,6.0,10.0,1.0,18.0,25.0,10.0,1.0,2,3,0,0
2005-10-02,Ascoli,Parma,3,1,H,2,1,H,10.0,10.0,6.0,4.0,23.0,22.0,5.0,5.0,3,5,0,1
2005-10-02,Fiorentina,Livorno,3,2,H,2,0,H,11.0,9.0,5.0,5.0,19.0,21.0,2.0,7.0,2,2,0,1
2005-10-02,Juventus,Inter,2,0,H,2,0,H,8.0,11.0,5.0,6.0,29.0,22.0,1.0,9.0,2,3,0,0
2005-10-02,Lecce,Cagliari,3,0,H,2,0,H,11.0,17.0,8.0,7.0,24.0,16.0,4.0,8.0,0,3,0,0
2005-10-02,Messina,Sampdoria,1,4,A,0,1,A,18.0,12.0,10.0,7.0,15.0,18.0,5.0,0.0,4,3,0,0
2005-10-02,Milan,Reggina,2,1,H,2,0,H,17.0,8.0,7.0,1.0,13.0,10.0,7.0,1.0,1,0,0,0
2005-10-02,Palermo,Empoli,2,2,D,1,2,A,21.0,5.0,10.0,4.0,13.0,11.0,11.0,0.0,0,2,0,0
2005-10-02,Roma,Siena,2,3,A,0,1,A,15.0,5.0,9.0,4.0,19.0,17.0,14.0,5.0,2,3,0,1
2005-10-15,Juventus,Messina,1,0,H,1,0,H,14.0,8.0,10.0,4.0,24.0,26.0,6.0,1.0,2,4,0,0
2005-10-15,Siena,Udinese,2,3,A,0,2,A,11.0,13.0,6.0,8.0,16.0,19.0,3.0,6.0,2,4,0,1
2005-10-16,Ascoli,Sampdoria,2,1,H,1,0,H,13.0,13.0,9.0,7.0,17.0,19.0,4.0,9.0,2,1,0,0
2005-10-16,Cagliari,Milan,0,2,A,0,2,A,10.0,9.0,5.0,4.0,15.0,16.0,6.0,3.0,1,1,0,0
2005-10-16,Empoli,Roma,1,0,H,0,0,D,7.0,8.0,4.0,4.0,12.0,17.0,4.0,11.0,0,3,1,0
2005-10-16,Inter,Livorno,5,0,H,2,0,H,15.0,5.0,11.0,1.0,20.0,16.0,4.0,2.0,1,0,0,1
2005-10-16,Lazio,Fiorentina,1,0,H,0,0,D,10.0,12.0,9.0,4.0,15.0,21.0,8.0,7.0,1,3,0,0
2005-10-16,Palermo,Chievo,2,2,D,1,2,A,9.0,7.0,6.0,5.0,26.0,20.0,4.0,3.0,3,3,1,0
2005-10-16,Parma,Treviso,1,1,D,1,0,H,5.0,13.0,2.0,4.0,16.0,37.0,1.0,7.0,3,5,0,0
2005-10-16,Reggina,Lecce,2,0,H,1,0,H,12.0,9.0,8.0,4.0,12.0,25.0,4.0,3.0,2,4,0,1
